epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6128,1.3274,4.27245,0.0292,0.00431,0.77756,0.07841,0.0515,0.63164,4.04331,0.01756,0.00011535,0.00011535,0.00011535
2,39.9812,0.83523,4.11082,0.01813,0.00455,0.80996,0.11558,0.07935,0.55154,4.01618,0.01519,0.000231647,0.000231647,0.000231647
3,55.8443,0.70171,3.98746,0.01349,0.0045,0.80996,0.10217,0.08835,0.47998,3.99133,0.01277,0.000340983,0.000340983,0.000340983
4,72.0677,0.64485,3.83058,0.01209,0.00445,0.80996,0.09951,0.08385,0.57732,3.95244,0.01473,0.000443359,0.000443359,0.000443359
5,88.4661,0.578,3.63658,0.01203,0.00454,0.80996,0.11203,0.08923,0.88446,3.80608,0.02689,0.000538775,0.000538775,0.000538775
6,104.728,0.58852,3.48044,0.01131,0.00461,0.80996,0.11879,0.10387,0.76334,3.66216,0.02222,0.000627229,0.000627229,0.000627229
7,120.962,0.57013,3.29421,0.01148,0.57312,0.08995,0.10791,0.08733,0.83066,3.45754,0.02289,0.00063849,0.00063849,0.00063849
8,137.012,0.56563,3.10707,0.01065,0.51681,0.09919,0.14048,0.11891,0.62501,3.2235,0.01704,0.000616738,0.000616738,0.000616738
9,152.778,0.56563,2.83758,0.01124,0.48859,0.23369,0.15033,0.12376,0.76705,3.04334,0.02119,0.000594986,0.000594986,0.000594986
10,170.088,0.52987,2.7104,0.00981,0.35638,0.2461,0.19546,0.17169,0.6174,2.96269,0.01665,0.000573235,0.000573235,0.000573235
11,186.647,0.48605,2.50383,0.00984,0.38392,0.28515,0.20673,0.18164,0.59962,2.82439,0.01482,0.000551483,0.000551483,0.000551483
12,202.452,0.61801,2.57601,0.01028,0.3989,0.33283,0.2344,0.20384,0.69116,2.7501,0.02042,0.000529731,0.000529731,0.000529731
13,218.662,0.54104,2.32659,0.0104,0.55016,0.19189,0.22878,0.20324,0.62859,2.71516,0.01798,0.000507979,0.000507979,0.000507979
14,234.892,0.53992,2.25364,0.01029,0.36297,0.28219,0.21867,0.19212,0.60259,2.86432,0.01679,0.000486228,0.000486228,0.000486228
15,251.108,0.50372,2.1132,0.00937,0.3474,0.25401,0.20719,0.18715,0.59557,2.8981,0.01646,0.000464476,0.000464476,0.000464476
16,267.19,0.57564,2.11562,0.00994,0.21164,0.30159,0.20478,0.19125,0.53892,2.75177,0.01523,0.000442724,0.000442724,0.000442724
17,283.173,0.535,2.09141,0.00965,0.24477,0.33947,0.23041,0.20106,0.66665,2.63826,0.01954,0.000420973,0.000420973,0.000420973
18,299.722,0.4626,2.00704,0.00871,0.28028,0.3082,0.29894,0.2738,0.55792,2.47899,0.0165,0.000399221,0.000399221,0.000399221
19,315.919,0.49642,1.92304,0.00899,0.39202,0.29737,0.30311,0.27572,0.54357,2.42586,0.01564,0.000377469,0.000377469,0.000377469
20,331.858,0.50479,1.92088,0.00921,0.50217,0.32988,0.3915,0.36187,0.4912,2.36042,0.01312,0.000355717,0.000355717,0.000355717
21,347.98,0.45069,1.81943,0.00895,0.33554,0.34886,0.41808,0.37677,0.53587,2.31504,0.01491,0.000333966,0.000333966,0.000333966
22,364.762,0.48766,1.83853,0.00954,0.37848,0.38881,0.43835,0.40335,0.54858,2.2685,0.01503,0.000312214,0.000312214,0.000312214
23,380.885,0.42768,1.77125,0.00828,0.44331,0.40388,0.42591,0.39773,0.47145,2.23439,0.01207,0.000290462,0.000290462,0.000290462
24,396.69,0.46416,1.74899,0.00857,0.53259,0.37962,0.426,0.3854,0.5661,2.24389,0.01543,0.000268711,0.000268711,0.000268711
25,412.593,0.48917,1.76564,0.00902,0.48571,0.38586,0.42048,0.3764,0.56631,2.26218,0.01566,0.000246959,0.000246959,0.000246959
26,428.622,0.43575,2.49894,0.01251,0.46314,0.4162,0.39114,0.35901,0.49419,2.27813,0.01345,0.000225207,0.000225207,0.000225207
27,443.98,0.37439,2.23677,0.00996,0.4427,0.34977,0.39421,0.36574,0.48176,2.35181,0.01313,0.000203455,0.000203455,0.000203455
28,460.021,0.38327,2.15662,0.01042,0.35628,0.37938,0.40912,0.38886,0.46365,2.47171,0.01256,0.000181704,0.000181704,0.000181704
29,477.995,0.37118,2.1557,0.00985,0.35742,0.376,0.39219,0.37323,0.46002,2.49587,0.01255,0.000159952,0.000159952,0.000159952
30,494.494,0.40019,2.10438,0.01001,0.36774,0.34529,0.41063,0.38097,0.48173,2.47549,0.01324,0.0001382,0.0001382,0.0001382
31,510.252,0.40962,2.04646,0.01027,0.3584,0.32253,0.40493,0.37931,0.49356,2.44872,0.01324,0.000116449,0.000116449,0.000116449
32,525.793,0.35472,2.02416,0.00913,0.36333,0.31771,0.40149,0.37994,0.49686,2.4238,0.01344,9.46969e-05,9.46969e-05,9.46969e-05
33,542.907,0.33951,1.99182,0.00887,0.3371,0.34501,0.41462,0.39178,0.47652,2.39152,0.01278,7.29451e-05,7.29451e-05,7.29451e-05
34,558.652,0.35151,1.97604,0.00954,0.3177,0.36844,0.40728,0.38521,0.46754,2.3858,0.01249,5.11934e-05,5.11934e-05,5.11934e-05
35,574.741,0.31873,2.01383,0.00806,0.3363,0.36209,0.4084,0.38594,0.45993,2.37826,0.01227,2.94417e-05,2.94417e-05,2.94417e-05
