epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7108,3.19071,3.79115,0.08015,0.00084,0.1713,0.00699,0.00084,4.16576,4.43187,0.21327,0.00011535,0.00011535,0.00011535
2,38.1,2.78988,3.62119,0.06893,0.00066,0.11706,0.00068,8e-05,4.57883,4.5799,0.25587,0.000231647,0.000231647,0.000231647
3,54.6628,2.4526,3.5164,0.05766,0.00054,0.09656,0.0077,0.00194,4.68249,4.66245,0.28349,0.000340983,0.000340983,0.000340983
4,70.9131,2.0681,3.33804,0.04511,0.00265,0.41336,0.05459,0.02418,3.95706,4.30171,0.24537,0.000443359,0.000443359,0.000443359
5,87.0806,1.8027,3.17525,0.04101,0.22605,0.1067,0.10087,0.05605,2.16335,3.55525,0.07961,0.000538775,0.000538775,0.000538775
6,103.166,1.66025,3.01191,0.03637,0.12308,0.1931,0.11043,0.07138,1.45591,3.36794,0.04465,0.000627229,0.000627229,0.000627229
7,118.974,1.4968,2.91136,0.03284,0.07882,0.19363,0.1258,0.08346,1.28706,3.30756,0.03888,0.00063849,0.00063849,0.00063849
8,135.306,1.33471,2.77926,0.03006,0.27169,0.17038,0.1735,0.11967,1.28214,3.04354,0.04166,0.000616738,0.000616738,0.000616738
9,151.489,1.30636,2.65267,0.02796,0.29441,0.21888,0.21104,0.13265,1.32417,3.17243,0.04283,0.000594986,0.000594986,0.000594986
10,167.68,1.26519,2.6325,0.02792,0.48992,0.17388,0.22532,0.16384,1.14051,3.0235,0.03312,0.000573235,0.000573235,0.000573235
11,183.445,1.11247,2.50834,0.02482,0.14841,0.25879,0.23711,0.16401,1.27377,3.05713,0.03899,0.000551483,0.000551483,0.000551483
12,199.548,1.15428,2.53869,0.02239,0.17339,0.2381,0.21412,0.14917,1.24787,2.93479,0.03922,0.000529731,0.000529731,0.000529731
13,225,1.0643,2.39803,0.02311,0.13323,0.28515,0.19656,0.15004,1.01732,2.77874,0.02894,0.000507979,0.000507979,0.000507979
14,248.741,1.05337,2.41232,0.02091,0.12699,0.23192,0.18535,0.13616,1.11461,2.78169,0.03162,0.000486228,0.000486228,0.000486228
15,271.337,1.00876,2.40975,0.02145,0.14914,0.19062,0.22204,0.16572,0.87066,2.65972,0.02365,0.000464476,0.000464476,0.000464476
16,296.595,0.92851,2.28718,0.02044,0.18375,0.28721,0.22711,0.16282,1.12062,2.60501,0.03294,0.000442724,0.000442724,0.000442724
17,321.373,0.92255,2.24157,0.01891,0.23319,0.19048,0.24569,0.18031,1.04308,2.59034,0.02915,0.000420973,0.000420973,0.000420973
18,347.467,0.92575,2.20984,0.0192,0.54115,0.19322,0.29491,0.231,0.8976,2.49788,0.02517,0.000399221,0.000399221,0.000399221
19,373.222,0.90742,2.17556,0.01794,0.24519,0.26896,0.30079,0.23714,0.88592,2.46746,0.02453,0.000377469,0.000377469,0.000377469
20,398.386,0.93316,2.24332,0.01842,0.28345,0.31765,0.31284,0.2524,0.84586,2.43565,0.02262,0.000355717,0.000355717,0.000355717
21,424.214,0.81965,2.17716,0.01668,0.24858,0.36817,0.32071,0.26174,0.76962,2.41704,0.01984,0.000333966,0.000333966,0.000333966
22,449.826,0.82616,2.14273,0.01718,0.28623,0.32388,0.31943,0.24257,0.88822,2.45089,0.02538,0.000312214,0.000312214,0.000312214
23,475.882,0.8456,2.13443,0.01785,0.27893,0.34773,0.32839,0.26214,0.87244,2.33336,0.02484,0.000290462,0.000290462,0.000290462
24,501.908,0.90771,2.20237,0.01735,0.27901,0.33498,0.32723,0.26652,0.86064,2.32344,0.02462,0.000268711,0.000268711,0.000268711
25,526.948,0.85566,2.1234,0.01629,0.24865,0.33377,0.31439,0.26641,0.79165,2.32475,0.02153,0.000246959,0.000246959,0.000246959
26,546.282,0.85228,2.81863,0.02378,0.25944,0.34641,0.33958,0.27749,0.83221,2.34645,0.02328,0.000225207,0.000225207,0.000225207
27,561.834,0.7513,2.66081,0.02151,0.22777,0.30963,0.32708,0.27294,0.83922,2.3678,0.02368,0.000203455,0.000203455,0.000203455
28,577.156,0.71793,2.62883,0.01978,0.2091,0.31125,0.31806,0.2637,0.79815,2.3756,0.02168,0.000181704,0.000181704,0.000181704
29,592.199,0.7434,2.58384,0.02056,0.24248,0.33788,0.32806,0.27482,0.8114,2.38093,0.02246,0.000159952,0.000159952,0.000159952
30,607.765,0.63445,2.4321,0.01731,0.24792,0.31878,0.32492,0.27561,0.73813,2.38255,0.02017,0.0001382,0.0001382,0.0001382
31,622.524,0.72354,2.4348,0.02088,0.21393,0.30291,0.32972,0.28433,0.69674,2.38281,0.0185,0.000116449,0.000116449,0.000116449
32,637.634,0.6849,2.39712,0.01773,0.21361,0.30577,0.32191,0.27341,0.67877,2.38261,0.01791,9.46969e-05,9.46969e-05,9.46969e-05
33,652.589,0.6379,2.39099,0.01744,0.22715,0.32111,0.3142,0.26744,0.72516,2.39135,0.01981,7.29451e-05,7.29451e-05,7.29451e-05
34,667.479,0.60742,2.35834,0.01656,0.21795,0.33309,0.31209,0.26326,0.76234,2.4043,0.02111,5.11934e-05,5.11934e-05,5.11934e-05
35,683.052,0.62655,2.33826,0.01663,0.25122,0.30076,0.30604,0.25809,0.76027,2.40495,0.02102,2.94417e-05,2.94417e-05,2.94417e-05
